ScientificName,CommonName,Lmax,TL,Habitat,MeanCatch
Larimichthys croceus,Large yellow croaker,66,3.72,DemMed,94937.81034
Leiostomus xanthurus,Spot croaker,30,3.94,DemMed,3655.827586
Pseudotolithus senegalensis,Cassava croaker,82,3.84,DemLg,1016.568966
Pseudotolithus elongatus,Bobo croaker,37,4.06,DemMed,5464.24569
Pennahia argentata,White croaker,23,3.47,DemSm,16223.10345
Pagellus bellottii bellottii,Red pandora,42,3.6,DemMed,6437.487069
Dentex macrophthalmus,Large-eye dentex,53,3.43,DemMed,13133.94828
Dentex dentex,Common dentex,82,4.5,DemLg,3748.038793
Dentex angolensis,Angola dentex,29,3.52,DemMed,966.3275862
Archosargus probatocephalus,Sheepshead seabream,75,3.53,DemLg,792.9525862
Argyrops spinifer,King soldierbream,54,4.47,DemMed,1784.137931
Argyrozona argyrozona,Carpenter seabream,74,3.05,DemLg,290.612069
Pterogymnus laniarius,Panga seabream,33,3.68,DemMed,3438.362069
Rhabdosargus globiceps,White stumpnose,53,2.87,DemMed,70.31896552
Stenotomus chrysops,Scup,38,3.9,DemMed,9425.284483
Pseudupeneus prayensis,West African goatfish,55,3.24,DemMed,2283.103448
Tautoga onitis,Tautog,75,3.33,DemLg,160.5517241
Nemadactylus bergi,White morwong,40,3.18,DemMed,5608.344828
Cheilodactylus variegatus,Peruvian morwong,33,2.89,DemMed,192.0517241
Arctoscopus japonicus,Sailfin sandfish,18,3.41,DemSm,20221.37931
Parapercis colias,Blue cod,37,3.87,DemMed,1383.689655
Percophis brasiliensis,Brazilian flathead,44,3.48,DemMed,3959.49569
Eleginops maclovinus,Patagonian blennie,40,3,DemMed,1361.267241
Dissostichus eleginoides,Patagonian toothfish,176,3.96,DemLg,11306.60776
Notothenia rossii,Marbled rockcod,75,3.61,DemLg,17256.18103
Pleuragramma antarcticum,Antarctic silverfish,20,3,Pelagic,93.32758621
Chaenocephalus aceratus,Blackfin icefish,59,3.47,DemMed,217.7025862
Champsocephalus gunnari,Mackerel icefish,54,3.23,Pelagic,18989.94828
Pseudochaenichthys georgianus,South Georgia icefish,49,3.33,DemMed,446.2974138
Chaenodraco wilsoni,Spiny icefish,35,3.32,DemMed,417.3232759
Zoarces viviparus,Viviparous blenny,43,3.47,DemMed,1941.672414
Zoarces americanus,Ocean pout,90,3.42,DemLg,1009.706897
Trisopterus minutus,Poor cod,33,3.6,DemMed,697.0301724
Genypterus blacodes,Pink cusk-eel,131,4.34,DemLg,21717.98707
Genypterus chilensis,Red cusk-eel,139,3.65,DemLg,1571.965517
Genypterus maculatus,Black cusk-eel,139,3.48,DemMed,1326.827586
Genypterus capensis,Kingklip,148,4.41,DemLg,6855.198276
Brotula barbata,Bearded brotula,75,3.41,DemLg,516.2413793
Ammodytes personatus,Pacific sandeel,15,3,DemSm,129197.5517
Hypoptychus dybowskii,Korean sandeel,7,3.18,DemSm,4939.241379
Thyrsites atun,Snoek,200,3.74,DemLg,34439.14655
Pampus argenteus,Silver pomfret,60,3.18,DemMed,21555.58621
Peprilus triacanthus,American butterfish,25,3.97,DemSm,1768.181034
Hyperoglyphe antarctica,Antarctic butterfish,115,3.95,DemLg,949.3663793
Psenopsis anomala,Melon seed,25,3.45,DemSm,10063.27586
Sebastes marinus,Ocean perch,87,4.08,DemLg,12695.53879
Sebastes entomelas,Widow rockfish,49,3.68,Pelagic,547.2068966
Sebastes flavidus,Yellowtail rockfish,54,4.11,DemMed,474.0862069
Sebastes alutus,Pacific ocean perch,42,3.5,DemMed,71847.83621
Sebastes mentella,Deepwater redfish,33,3.65,Pelagic,16384.52155
Chelidonichthys kumu,Bluefin gurnard,49,3.44,DemMed,14001.55172
Pterygotrigla polyommata,Latchet,51,3.29,DemMed,113.1336207
Ophiodon elongatus,Lingcod,125,4.32,DemLg,5319.224138
Pleurogrammus azonus,Okhostk atka mackerel,60,3.58,DemMed,186232.2371
Anoplopoma fimbria,Sablefish,98,3.83,DemLg,25691.65948
Psettodes erumei,Indian spiny turbot,52,4.39,DemMed,7155.62931
Hippoglossus stenolepis,Pacific halibut,115,4.13,DemLg,33051.78879
Reinhardtius hippoglossoides,Greenland halibut,66,4.48,DemMed,86449.38793
Atheresthes stomias,Arrowtooth flounder,69,4.26,DemMed,5178.508621
Reinhardtius evermanni,Kamchatka flounder,100,4.45,DemLg,17648.60345
Hippoglossoides elassodon,Flathead sole,50,3.64,DemMed,9967.62069
Limanda aspera,Yellowfin sole,39,3.24,DemMed,64899.125
Limanda ferruginea,Yellowtail flounder,64,3.22,DemMed,27233.28017
Pseudopleuronectes americanus,Winter flounder,52,2.83,DemMed,11881.19828
Solea solea,Common sole,70,3.17,DemMed,38855.90948
Dicologlossa cuneata,Wedge sole,30,3.32,DemMed,991.1422414
Austroglossus microlepis,West coast sole,62,3.48,DemMed,1571.672414
Austroglossus pectoralis,Mud sole,49,4.03,DemMed,525.7758621
Scophthalmus rhombus,Brill,75,3.79,DemMed,1934.030172
Scophthalmus aquosus,Windowpane,37,3.55,DemMed,717
Stephanolepis cirrhifer,Thread-sail filefish,20,2.84,DemSm,55815.18966
Lophius americanus,American angler,98,4.49,DemLg,9902.637931
Cetengraulis edentulus,Atlantic anchoveta,17,2.11,Pelagic,1438.482759
Cetengraulis mysticetus,Pacific anchoveta,18,2.47,Pelagic,83861.2069
Lepidopus caudatus,Silver scabbardfish,205,3.85,DemLg,11389.98707
Aphanopus carbo,Black scabbardfish,110,4.5,DemLg,3879.948276
Centrophorus granulosus,Gulper shark,123,4.13,Pelagic,313.25
Centrophorus squamosus,Leafscale gulper shark,131,4.22,Pelagic,551.3017241
Centroscymnus coelolepis,Portuguese dogfish,120,4.2,Pelagic,641.0043103
Dalatias licha,Kitefin shark,144,4.15,Pelagic,129.1551724
Lichia amia,Leerfish,164,4.5,Pelagic,1864.060345
Limanda limanda,Dab,40,3.29,DemMed,14663.0431
Lithognathus mormyrus,Striped seabream,45,3.38,DemMed,884.8189655
Lophius piscatorius,Angler,200,4.49,DemLg,15644.61638
Squatina argentina,Argentine angelshark,150,4.11,Pelagic,1271
Isurus oxyrinchus,Shortfin mako,498,4.28,Pelagic,1014.642241
Maurolicus muelleri,Pearlsides,6,3.01,Pelagic,1445.068966
Mugil cephalus,Flathead mullet,120,2.13,DemLg,44548.7069
Mullus barbatus,Red mullet,30,3.33,DemMed,3733.793103
Scyliorhinus canicula,Smallspotted catshark,100,3.58,Pelagic,2988.775862
Oblada melanura,Saddled seabream,25,3.03,DemSm,610.9525862
Scyliorhinus stellaris,Nursehound,130,4.03,Pelagic,138.2456897
Carcharhinus falciformis,Silky shark,238,4.2,Pelagic,9310.172414
Carcharhinus sorrah,Spottail shark,160,4.15,Pelagic,2012.172414
Pagellus acarne,Axillary seabream,36,3.48,DemMed,902.5431034
Pagellus bogaraveo,Blackspot seabream,70,3.66,DemMed,6487.344828
Pagellus erythrinus,Common pandora,60,3.52,DemMed,7892.87069
Prionace glauca,Blue shark,289,4.24,Pelagic,5370.616379
Sphyrna lewini,Scalloped hammerhead,294,4.08,Pelagic,62.50431034
Dasyatis akajei,Red stingray,40,3.84,DemLg,9059.862069
Atrobucca nibe,Longfin kob,45,3.03,DemMed,3903.431034
Platycephalus indicus,Bartail flathead,87,3.6,DemLg,2051.017241
Pseudocaranx dentex,White trevally,100,3.24,DemLg,3352.034483
Seriola dumerili,Greater amberjack,156,4.5,DemLg,555.1293103
Trisopterus esmarkii,Norway pout,29,3.22,DemMed,245885.3276
Sardinella aurita,Round sardinella,25,3.21,Pelagic,250451.9914
Ruvettus pretiosus,Oilfish,246,4.08,DemLg,2980.883621
Sardinella maderensis,Madeiran sardinella,35,3.2,Pelagic,47560.68103
Saurida undosquamis,Brushtooth lizardfish,50,4.48,DemMed,398.9827586
Hemiramphus brasiliensis,Ballyhoo,45,2.48,Pelagic,849.3275862
Megalops atlanticus,Tarpon,205,4.5,Pelagic,2053.590517
Scomberesox saurus,Atlantic saury,41,3.64,Pelagic,1251.521552
Mugil curema,White mullet,90,2.01,Reef-associated,196.4655172
Mugil liza,Liza,63,2,DemMed,1934.37069
Sparus auratus,Gilthead seabream,70,3.26,DemMed,3944.482759
Sphoeroides maculatus,Northern puffer,30,4.04,DemMed,538.6767241
Sciaenops ocellatus,Red drum,127,4.07,DemLg,622.4353448
Stromateus fiatola,Blue butterfish,50,3.91,DemMed,1610.74569
Sphyraena barracuda,Great barracuda,178.9,4.5,Pelagic,7480.310345
Trachurus mediterraneus,Mediterranean horse mackerel,56,3.47,Pelagic,30295.23276
Trachurus picturatus,Blue jack mackerel,49,3.32,DemMed,590.2241379
Trichiurus lepturus,Largehead hairtail,192,4.45,DemLg,744418.5043
Ariomma indica,Indian ariomma,25,3.4,DemSm,755.3922414
Umbrina cirrosa,Shi drum,57,3.39,DemMed,462.9827586
Mullus surmuletus,Striped red mullet,40,3.35,DemMed,6667.271552
Osmerus eperlanus,European smelt,37,3.06,Pelagic,4701.228448
Pegusa lascaris,Sand sole,40,3.2,DemMed,103.5948276
Paralichthys dentatus,Summer flounder,77,4.49,DemMed,7164.887931
Phycis blennoides,Greater forkbeard,90,3.49,DemLg,2365.133621
Platichthys flesus,Flounder,43,3.53,DemMed,11434.85776
Pleuronectes platessus,European plaice,100,3.26,DemLg,143591.2198
Pollachius virens,Saithe,107,4.38,DemLg,418664.2586
Scophthalmus maximus,Turbot,100,3.05,DemLg,8609.443966
Sardina pilchardus,European pilchard,25,3.1,Pelagic,840422.2586
Paralichthys olivaceus,Bastard halibut,80,4.35,DemLg,10562.32759
Spondyliosoma cantharus,Black seabream,60,3.34,DemMed,3381.771552
Sprattus sprattus,European sprat,16,3,Pelagic,386763.5733
Trachinus draco,Greater weever,45,3,DemMed,475.4008621
Trachurus trachurus,Atlantic horse mackerel,62,3.64,Pelagic,195728.0603
Chelidonichthys lucerna,Tub gurnard,62,3.65,DemMed,401.2931034
Trisopterus luscus,Pouting,41,3.73,DemMed,16419.70259
Zeus faber,John dory,79,4.5,DemLg,4310.814655
Hippoglossus hippoglossus,Atlantic halibut,197,4.53,DemLg,9272.24569
Melanogrammus aeglefinus,Haddock,82,4.09,DemLg,421855.4784
Microstomus kitt,Lemon sole,53,3.22,DemMed,10150.84483
Molva dypterygia,Blue ling,127,4.48,DemLg,12236.17672
Lutjanus argentimaculatus,Mangrove red snapper,98,3.58,DemLg,6271.935345
Lutjanus argentiventris,Yellow snapper,54,4.07,DemMed,2529.741379
Lutjanus campechanus,Northern red snapper,82,4.01,DemLg,5663.431034
Chirocentrus nudus,Whitefin wolf-herring,100,4.19,Pelagic,983.6551724
Dussumieria acuta,Rainbow sardine,20,3.4,Pelagic,27307.95259
Dussumieria elopsoides,Slender rainbow sardine,20,3.4,Pelagic,291.4655172
Etrumeus teres,Round herring,25,3.49,Pelagic,51723.08621
Etrumeus whiteheadi,Whiteheads round herring,20,3.4,Pelagic,29627.13793
Spratelloides gracilis,Silverstriped round herring,10,3.04,Pelagic,4621.034483
Sprattus fuegensis,Falkland sprat,18,3.4,Pelagic,1716.262931
Clupeonella cultriventris,Black Sea sprat,14,3.4,Pelagic,47292.29741
Sardinops sagax,South American pilchard,30,2.43,Pelagic,3202303.871
Opisthonema libertate,Pacific thread herring,26,2.89,Pelagic,42172.90517
Opisthonema oglinum,Atlantic thread herring,31,3.23,Pelagic,8350.517241
Amblygaster sirm,Spotted sardinella,27,3.3,Reef-associated,487.637931
Sardinella 'brasiliensis',Brazilian sardinella,25,2.91,Pelagic,79292.43534
Sardinella gibbosa,Goldstripe sardinella,17,2.85,Pelagic,85125.56897
Sardinella lemuru,Bali sardinella,23,2.48,Pelagic,58719.09052
Sardinella longiceps,Indian oil sardine,23,2.51,Pelagic,235663.9224
Sardinella zunasi,Japanese sardinella,13,2.65,Pelagic,3893.103448
Clupea pallasii,Pacific herring,31,3.15,Pelagic,405950.944
Strangomera bentincki,Araucanian herring,15,2,Pelagic,157016.3793
Alosa pseudoharengus,Alewife,38,3.51,Pelagic,20351.71121
Alosa sapidissima,American shad,62,3.19,Pelagic,2493.943966
Brevoortia aurea,Brazilian menhaden,26,2.75,Pelagic,3014.991379
Brevoortia patronus,Gulf menhaden,25,2.19,Pelagic,534409.5172
Brevoortia pectinata,Argentine menhaden,30,2.68,Pelagic,179.9655172
Brevoortia tyrannus,Atlantic menhaden,41,2.25,Pelagic,337619.3621
Ethmidium maculatum,Pacific menhaden,26,2.07,Pelagic,13722.13793
Ethmalosa fimbriata,Bonga shad,35,2.5,Pelagic,97594.46552
Hilsa kelee,Kelee shad,29,3.21,Pelagic,22537.31034
Tenualosa ilisha,Hilsa shad,60,2.04,Pelagic,60210.49569
Tenualosa toli,Toli shad,50,2.48,Pelagic,1991.646552
Dorosoma cepedianum,American gizzard shad,43,2,Pelagic,58.01724138
Clupanodon thrissa,Chinese gizzard shad,26,3.01,Pelagic,6285.37931
Konosirus punctatus,Konoshiro gizzard shad,26,3.4,Pelagic,3359.413793
Anodontostoma chacunda,Chacunda gizzard shad,18,3,Pelagic,2624.413793
Ilisha africana,West African ilisha,20,3.19,Pelagic,5268.948276
Ilisha elongata,Elongate ilisha,40,3.79,Pelagic,25140
Pellona ditchela,Indian pellona,16,3.37,Pelagic,4993.396552
Engraulis anchoita,Argentine anchoita,17,2.48,Pelagic,18646.94828
Engraulis capensis,Cape anchovy,19,2.96,Pelagic,250217.625
Engraulis japonicus,Japanese anchovy,16,2.51,Pelagic,673622.569
Engraulis mordax,Californian anchovy,19,2.96,Pelagic,76417.34052
Atherina boyeri,Big-scale sand smelt,20,3.12,DemSm,1040.530172
Sciaena umbra,Brown meagre,57,3.99,DemMed,79.55603448
Mora moro,Common mora,80,3.75,Pelagic,289.2758621
Phycis phycis,Forkbeard,49,4.11,DemMed,78
Diplodus sargus,White seabream,37,2.98,DemMed,326.0862069
Diplodus vulgaris,Common two-banded seabream,37,3.24,DemMed,71.22413793
Pagrus pagrus,Common seabream,75,3.65,DemLg,6259.00431
Macruronus novaezelandiae,Blue grenadier,98,4.47,DemLg,93234.97414
Merluccius capensis,Shallow-water Cape hake,115,4.45,DemLg,465.6293103
Lethrinus mahsena,Sky emperor,56,3.43,DemMed,58.56896552
Lethrinus borbonicus,Snubnose emperor,32.8,3.47,DemMed,101.0689655
Lethrinus nebulosus,Spangled emperor,86,3.31,DemMed,331.5344828
Lethrinus lentjan,Pink ear emperor,40.8,4.21,DemMed,350.2241379
Alectis alexandrinus,African threadfish,70,3.6,Pelagic,121.5517241
Atule mate,Yellowtail scad,25,4.45,Pelagic,129.4482759
Caranx ignobilis,Giant trevally,170,4.22,DemLg,1341.706897
Caranx rhonchus,False scad,49,3.6,DemMed,4335.155172
Carangoides bajad,Orangespotted trevally,45.1,4.5,DemMed,79.56896552
Caranx crysos,Blue runner,57,4.4,Pelagic,1090.24569
Chloroscombrus orqueta,Pacific bumper,30,3.08,DemMed,1091.741379
Decapterus macrosoma,Shortfin scad,35,3.4,Reef-associated,248.4137931
Decapterus maruadsi,Japanese scad,23,3.4,Pelagic,54241.75862
Parastromateus niger,Black pomfret,62,3.64,DemMed,26158.26293
Scomberoides commersonnianus,Talang queenfish,120,3.94,DemLg,1213.931034
Seriolina nigrofasciata,Blackbanded trevally,156,4.17,DemMed,1484.655172
Pseudophycis bachus,Red codling,74,4.5,DemLg,5196.034483
Dipturus batis,Blue skate,205,3.96,DemLg,234.0732759
Raja clavata,Thornback ray,83,3.6,DemLg,1006.37931
Anarhichas lupus,Wolf-fish,123,3.24,DemLg,28687.75431
Epigonus telescopus,Bulls-eye,60,3.32,DemMed,929.8836207
Alopias vulpinus,Thintail thresher,365,4.21,Pelagic,87.58189655
Mustelus canis,Dusky smooth-hound,123,3.67,Pelagic,56.33189655
Argentina silus,Greater argentine,70,3.31,DemMed,448.9655172
Zenopsis nebulosus,Mirror dory,70,3.98,DemMed,184.1982759
Stereolepis gigas,Giant sea-bass,250,4.5,DemLg,61.77155172
Mycteroperca xenarcha,Broomtail grouper,123,4.35,DemLg,78.75862069
Caulolatilus princeps,Ocean whitefish,102,3.7,DemLg,232.7931034
Atractoscion nobilis,White weakfish,125,3.21,DemLg,402
Pseudopentaceros richardsoni,Pelagic armorhead,56,3.5,Pelagic,13260.78017
Anarhichas denticulatus,Northern wolffish,180,3.75,DemLg,452.0517241
Anarhichas minor,Spotted wolffish,148,3.24,DemLg,1017.728448
Sebastes goodei,Chilipepper,46,3.58,DemMed,94.87931034
Sebastes pinniger,Canary rockfish,63,3.8,DemMed,61.68103448
Sebastolobus alascanus,Shortspine thornyhead,80,3.61,DemMed,55.82758621
Paralichthys californicus,California flounder,152,4.5,DemLg,70.97413793
Eopsetta jordani,Petrale sole,70,4.05,DemMed,377.5344828
Glyptocephalus zachirus,Rex sole,60,3.24,DemMed,346.862069
Hippoglossoides platessoides,American plaice,67,3.65,DemMed,55561.32759
Microstomus pacificus,Dover sole,62,3.27,DemMed,1622.87931
Parophrys vetula,English sole,49,3.45,DemMed,185.3965517
Pleuronectes quadrituberculatus,Alaska plaice,60,3.1,DemMed,933.4698276
Normanichthys crockeri,Normans camote,11,2.7,DemSm,10015.60776
Leucoraja naevus,Cuckoo ray,57,3.94,DemMed,1701.741379
Raja montagui,Spotted ray,66,3.57,DemMed,462.5517241
Terapon jarbua,Jarbua terapon,36,3.9,Demersal,188.3103448
Gnathanodon speciosus,Golden trevally,102,3.81,DemLg,504.0517241
Acanthopagrus bifasciatus,Twobar seabream,50,3.39,DemMed,512.8448276
Umbrina canariensis,Canary drum,52,3.37,DemMed,509
Nemipterus japonicus,Japanese threadfin bream,32,3.82,DemMed,1023.103448
Miichthys miiuy,Mi-iuy croaker,85,3.5,DemMed,2579.224138
Lateolabrax japonicus,Japanese seaperch,90,3.78,DemLg,8575.258621
Dentex congoensis,Congo dentex,41,3.71,DemMed,121
Galeorhinus galeus,Tope shark,135,4.21,Pelagic,2866.900862
Pomadasys jubelini,Sompat grunt,49,3.33,DemMed,1219.836207
Callorhinchus milii,Ghost shark,125,3.1,DemLg,980.1206897
Mugil soiuy,So-iuy mullet,60,2.49,DemMed,900.4310345
Otolithes ruber,Tiger-toothed croaker,74,3.6,DemLg,1403.172414
Plectropomus leopardus,Leopard coralgrouper,120,4.49,Reef-associated,678.9655172
Spicara maena,Blotched picarel,25,3.23,DemSm,155.0344828
Epinephelus merra,Honeycomb grouper,31,3.79,Reef-associated,184.5344828
Elops lacerta,West African ladyfish,89,4.08,DemLg,552.2068966
Polydactylus quadrifilis,Giant African threadfin,164,4.01,DemLg,3707.241379
Pomadasys incisus,Bastard grunt,41,3.8,DemMed,513.1336207
Pseudotolithus senegallus,Law croaker,189,3.89,DemLg,278.3965517
Trachurus capensis,Cape horse mackerel,56,3.47,Pelagic,324985.6595
Chelidonichthys capensis,Cape gurnard,62,4.21,DemMed,546.4224138
Valamugil seheli,Bluespot mullet,60,2.32,DemMed,648.6206897
Mustelus lenticulatus,Spotted estuary smooth-hound,125,3.51,Pelagic,1473.241379
Mustelus schmitti,Narrownose smooth-hound,59,3.59,Pelagic,6054.293103
Gerres oyena,Common silver-biddy,25,3.07,DemMed,62.53448276
Pomadasys kaakan,Javelin grunter,80,3.19,DemMed,716.5862069
Acanthopagrus latus,Yellowfin seabream,50,3.15,DemMed,134.3793103
Chirocentrus dorab,Dorab wolf-herring,100,4.5,DemLg,6306.922414
Chrysophrys auratus,Squirefish,130,3.32,DemLg,32390.23276
Cephalopholis boenak,Chocolate hind,30,4.2,Reef-associated,19293.94828
Cromileptes altivelis,Humpback grouper,70,4.5,Reef-associated,372.4482759
Epinephelus coioides,Orange-spotted grouper,122,3.9,DemLg,563.9827586
Epinephelus marginatus,Dusky grouper,90,3.85,DemLg,2685.021552
Saurida tumbil,Greater lizardfish,56,4.4,DemMed,32875.56034
Acanthopagrus schlegeli,Black porgy,50,3.24,DemMed,166.3965517
Electrona carlsbergi,Carlberg's lanternfish,11,3.24,Pelagic,2654.758621
Dissostichus mawsoni,Antarctic toothfish,144,4.45,DemLg,359.5646552
Gobionotothen gibberifrons,Humped rockcod,45,3.15,DemMed,1904.107759
Lepidonotothen squamifrons,Grey rockcod,45,3.09,DemMed,4489.37069
Patagonotothen brevicauda,Patagonian rockcod,19,3.86,DemSm,2971.625
Epinephelus multinotatus,White-blotched grouper,83.4,3.86,DemLg,71.31034483
Leucoraja circularis,Sandy ray,120,3.5,DemLg,118.4137931
Dipturus oxyrinchus,Longnosed skate,123,3.5,DemLg,80.44827586
Micropogonias furnieri,Whitemouth croaker,49,2.63,DemMed,61027.75862
Plectorhinchus gaterinus,Blackspotted rubberlips,42.7,3.99,DemMed,53.98275862
Rhabdosargus haffara,Haffara seabream,28.4,3.5,DemMed,148.1034483
Odontesthes regia,Silverside,29,4,Pelagic,1114.87931
Girella tricuspidata,Luderick,71,2,DemMed,113.7413793
Seriolella porosa,Choicy ruff,75,3.41,DemMed,930.1551724
Bregmaceros mcclellandi,Spotted codlet,10,3.27,Pelagic,3160.810345
Lepidorhynchus denticulatus,Thorntooth grenadier,55,4.1,Pelagic,850.4655172
Rexea solandri,Silver gemfish,110,4.25,DemLg,2483.306034
Pseudopleuronectes herzensteini,Littlemouth flounder,50,3.15,DemMed,16190.13793
Raja asterias,Starry ray,70,3.5,Demersal,292.3965517
Gerres nigri,Guinean striped mojarra,20,3.19,DemSm,196.0517241
Nemadactylus macropterus,Tarakihi,57,3.41,DemMed,5927.086207
Benthosema pterotum,Skinnycheek lanternfish,7,3.14,Pelagic,220.7241379
Lophius vomerinus,Cape monk,82,4.46,DemMed,8849.181034
Takifugu vermicularis,Pear puffer,30,3.07,DemMed,3643.344828
Cheilopogon agoo,Japanese flyingfish,35,3.4,Pelagic,9748.017241
Patagonotothen ramsayi,Ramsay's icefish,36,3.57,DemMed,1715.413793
Prolatilus jugularis,Tilefish,32.8,3.7,DemMed,157.4698276
Seriolella brama,Common warehou,61,3.3,DemMed,1048.637931
Seriolella caerulea,White warehou,53,3.42,Pelagic,625.0344828
Kathetostoma giganteum,Giant stargazer,74,3.84,DemLg,1366.551724
Seriolella punctata,Silver warehou,53,3.4,DemMed,3482.051724
Meuschenia scaber,Velvet leatherjacket,31,2.95,DemMed,318.6034483
Hydrolagus novaezealandiae,Dark ghost shark,87,3.52,DemMed,511.8275862
Pennahia anea,Greyfin croaker,37,3.99,DemMed,300.6896552
Pomadasys leuciscus,White grunt,41,3.22,Demersal,87.96551724
Centroberyx affinis,Redfish,51,3.81,DemMed,315.9310345
Thunnus orientalis,Pacific bluefin tuna,300,4.21,Pelagic,14542.92241
Rhynchobatus australiae,White-spotted shovelnose ray,300,3.54,Demersal,1110.465517
Lepidopsetta bilineata,Rock sole,43,3.21,DemMed,14005.81034
Liza klunzingeri,Klunzingers mullet,20,2.48,DemSm,842.3793103
Pseudopercis semifasciata,Pigletfish,100,3.88,DemLg,2037.646552
Chelon haematocheilus,So-iny (redlip) mullet,75,2.5,DemMed,10960.58621
Pandalus montagui,Aesop shrimp,16,2.3,Invert,78.53448276
Acetes japonicus,Akiami paste shrimp,3,2.7,Invert,221167.931
Crassostrea virginica,American cupped oyster,9,2,Invert,187087.4138
Homarus americanus,American lobster,64,3.7,Invert,50153.50431
Placopecten magellanicus,American sea scallop,20,2,Invert,146343.7414
Euphausia superba,Antarctic krill,6,2.2,Invert,118417.3836
Pleoticus muelleri,Argentine red shrimp,19,2.2,Invert,10488.85345
Illex argentinus,Argentine shortfin squid,33,3.8,Invert,246343.9138
Artemesia longinaris,Argentine stiletto shrimp,13,2.7,Invert,303.1896552
Argopecten irradians,Atlantic bay scallop,9,2,Invert,4329.806034
Cancer irroratus,Atlantic rock crab,12,2.6,Invert,2709.543103
Xiphopenaeus kroyeri,Atlantic seabob,13,2.7,Invert,16133
Spisula solidissima,Atlantic surf clam,17,2,Invert,126107.8448
Mytilus planulatus,Australian mussel,6,2,Invert,517.9741379
Panulirus cygnus,Australian spiny lobster,40,2.6,Invert,9620.034483
Penaeus merguiensis,Banana prawn,24,3,Invert,43889.55172
Pollicipes pollicipes,Barnacle,3,3,Invert,89.60344828
Menippe mercenaria,Black stone crab,11,2.6,Invert,1775.163793
Haliotis rubra,Blacklip abalone,16,2,Invert,4219.543103
Anadara granosa,Blood cockle,6,2,Invert,27053.65086
Aristeus antennatus,Blue and red shrimp,22,3.29,Invert,1353.616379
Callinectes sapidus,Blue crab,15,4,Invert,79535.40948
Mytilus edulis,Blue mussel,9,2,Invert,73357.14224
Penaeus stylirostris,Blue shrimp,23,2.7,Invert,243.2586207
Portunus pelagicus,Blue swimming crab,20,3,Invert,59274.59052
Illex coindetii,Broadtail shortfin squid,37,4.15,Invert,3275.017241
Perna viridis,Brown mussel,10,2,Invert,34577.55172
Saxidomus giganteus,Butter clam,10,2,Invert,1794.275862
Argopecten gibbus,Calico scallop,8,2,Invert,24089.06466
Loligo vulgaris,Cape Hope squid,40,4.1,Invert,2873.788793
Jasus lalandii,Cape rock lobster,46,2.6,Invert,9706.086207
Penaeus kerathurus,Caramote prawn,20,2.7,Invert,2789.99569
Panulirus argus,Caribbean spiny lobster,45,3.2,Invert,25500.53017
Ostrea chilensis,Chilean flat oyster,10,2,Invert,181.137931
Mytilus chilensis,Chilean mussel,18,2,Invert,6256.456897
Heterocarpus reedi,Chilean nylon shrimp,15,2.3,Invert,5447.965517
Loxechinus albus,Chilean sea urchin,8,2.3,Invert,18287.56897
Aulacomya ater,Cholga mussel,15,2,Invert,17644.18103
Choromytilus chorus,Choro mussel,5,2,Invert,239.4482759
Sepia officinalis,Common cuttlefish,45,3.55,Invert,10607.19828
Cardium edule,Common edible cockle,10,2.1,Invert,40681.18534
Octopus vulgaris,Common octopus,25,3.55,Invert,46849.48276
Littorina littorea,Common periwinkle,2,2,Invert,2052.456897
Palaemon serratus,Common prawn,11,2.7,Invert,567.8448276
Crangon crangon,Common shrimp,9,3.19,Invert,39457.32759
Palinurus elephas,Common spiny lobster,50,2.6,Invert,670.5258621
Penaeus brevirostris,Crystal shrimp,16,2.7,Invert,2894.581897
Callinectes danae,Dana's swimming crab,16,3.7,Invert,2560.827586
Parapenaeus longirostris,Deepwater rose shrimp,17,3.31,Invert,19349.1681
Cancer magister,Dungeness crab,21,2.6,Invert,19830.5
Cancer pagurus,Edible crab,20,2.6,Invert,25375.37931
Metapenaeus endeavouri,Endeavour shrimp,16,2.7,Invert,807.5
Echinus esculentus,European edible sea urchin,8,2.3,Invert,110.0560345
Ostrea edulis,European flat oyster,25,2,Invert,3026.538793
Todarodes sagittatus,European flying squid,75,4.01,Invert,2694.543103
Homarus gammarus,European lobster,60,2.6,Invert,2662.99569
Concholepas concholepas,False abalone,15,2,Invert,6907.37931
Penaeus chinensis,Fleshy prawn,17,2.7,Invert,29722.01724
Portunus trituberculatus,Gazami crab,10,2.6,Invert,96363.48276
Haliotis gigantea,Giant abalone,30,2,Invert,4002.206897
Penaeus monodon,Giant tiger prawn,34,2.6,Invert,73967.0431
Pecten maximus,Great Atlantic scallop,15,2,Invert,19929.26293
Pecten jacobaeus,Great Mediterranean scallop,25,2,Invert,102.7974138
Carcinus maenas,Green crab,9,3.5,Invert,861.1034483
Jasus verreauxi,Green rock lobster,60,2.6,Invert,117.6853448
Penaeus semisulcatus,Green tiger prawn,20,2.7,Invert,3480.362069
Ruditapes decussatus,Grooved carpet shell,6,2,Invert,2996.49569
Microcosmus sulcatus,Grooved sea squirt,3,3,Invert,237.3103448
Parapenaeopsis atlantica,Guinea shrimp,17,2.7,Invert,52.10344828
Scapharca subcrenata,Half-crenated ark,7,2,Invert,17613.46552
Mactra sachalinensis,Hen clam,5,2.1,Invert,11139.36207
Turbo cornutus,Horned turban,7,2,Invert,12337.01724
