ScientificName,CommonName,Lmax,TL,Habitat,MeanCatch
Sepiidae,Cuttlefishes,40,3.6,Invert,221908.1552
Palaemonidae,Palaemonid shrimps,15,3.14,Invert,1384.706897
Lithodidae,King crabs,17,2.82,Invert,31028.37931
Palinuridae,Spiny lobsters,60,3.14,Invert,148.0775862
Scyllaridae,Slipper lobsters,16,2.87,Invert,316.875
Sergestidae,Sergestid shrimp,3,2.93,Invert,25482
Aristeidae,Aristeid shrimps,26,3.47,Invert,562.0172414
Penaeidae,Penaeid shrimps,34,3.31,Invert,6092.172414
Squillidae,Mantis shrimps,20,3.5,Invert,24329.77586
Mytilidae,Sea mussels,15,2,Invert,6685.814655
Pectinidae,Scallops,25,2,Invert,18234.34052
Cardiidae,Cockles,10,2,Invert,2022.862069
Veneridae,Venus clams,14,2,Invert,5116.37069
Brachyura,Marine crabs,30,2.6,Invert,120420.9871
Paralichthys,American flounders,80,4.14,DemMed,4675.887931
Raja,Skates,83,3.8,DemMed,45476.27586
Lophius,Monkfishes,100,4.46,DemLg,25947.34914
Trachinus,Weevers,44,3.95,DemSm,211.9008621
Ammodytes,Sandlances,15,3.11,DemSm,495260.6207
Salmo,Salmon and trout,89,4,Pelagic,683.6939655
Scomber,Mackerels,52,3.65,Pelagic,8019.090517
Mullus,Western goatfishes,40,3.29,DemMed,16740.94828
Argentina,Argentines,20,3.35,Pelagic,16775.11207
Siganus,Rabbitfishes,34,2.11,DemMed,16101.88362
Macrourus,Grenadiers,82,3.58,DemLg,4989.991379
Mustelus,Smooth-hounds,111,3.73,Pelagic,14441.06897
Alosa,Shads,68,3.9,Pelagic,1695.288793
Lutjanus,Snappers,98,4.02,DemMed,43057.49569
Epinephelus,Groupers,190,3.84,DemMed,44836.75862
Sphyraena,Barracudas,179,4.4,Pelagic,42399.32328
Scomberoides,Queenfishes,100,4.47,Pelagic,10768.0431
Scomberomorus,Seerfishes,205,4.35,Pelagic,151956.5862
Prionotus,Sea robins,25,3.97,DemSm,1705.487069
Centropomus,Snooks,115,3.92,DemMed,5736.293103
